"","Title","count","Category"
"2952","RSCH DATA ANL 1","77",""
"2539","PROCUREMENT ANL 3","76","Staff"
"2779","RECR PRG INSTR 3","76","Staff"
"1599","HISTO TCHNO 2","76",""
"2195","OCCUPATIONAL THER 2 NEX","76",""
"3059","SR LECT SOE-AY","75","Teaching Track"
"638","CAREER SVC SPEC 3","75","Staff"
"3195","STEAM OPS ENGR","75",""
"3014","SKLD CRAFTS TRADES SUPV 2","74","Staff"
"3276","SYS ADM 2","74","Staff"
"688","CHIEF RESID PHYS-NON REP","74","Med Center"
"1215","ELECTED OFCR STDT GOVT","74",""
"2106","MGT SVC OFCR 2 SUPV","74",""
"3318","TCHN AST","74",""
"538","BIOINFORMATICS PROGR 4","73","Staff"
"850","CMPTL AND DATA SCI RSCH SPEC 4","73","Staff"
"446","ATH PROFL 1 BYA","73","Athletics"
"172","ADV OFCR 3","73",""
"1869","LECT-AY-1/9-CONTINUING","72","Unit 18"
"221","AMBUL CARE PAT MGR 1","72","Med Center"
"5","ACAD ACHIEVEMENT CNSLR 3","72","Acad Staff"
"1574","HEALTH INFO CODER 2","71","Med Center"
"2418","PHYS PLT MECH","71",""
"1507","GEN ACCOUNTANT 4","70","Staff"
"988","COUNSEL 4","70",""
"2804","REG DENTAL AST","70",""
"202","ALUMNI EXTERNAL REL SPEC 2","69","Staff"
"2581","PROF-SFT-VM","69","Senate"
"423","ASST SPECIALIST NEX","69","Research"
"3455","VIS ASSOC PROF","69","Non-Senate"
"450","ATH PROFL 3 BYA","69","Athletics"
"1321","EXEC ADVISOR 4","69","Admin Staff"
"171","ADV OFCR 2","69",""
"1832","LAB RSCH SUPV 2","68","Research Staff"
"3462","VIS ASST PROJ SCIENTIST","68","Research Staff"
"3171","STDT LIFE DEV SPEC 4","68","Acad Staff"
"2280","PAT BILL AND COLL REPR 3","68",""
"2444","PHYSCN AST","68",""
"2910","REVENUE CYCLE HC ANL 2","68",""
"553","BLANK AST 3 SUPV","67","Staff"
"679","CHEF 2","67","Staff"
"1746","INTERN-CLIN PSYCH-GENL CAMP","67","Staff"
"2396","PHARMACY TCHN 1","67","Staff"
"789","CLIN NURSE EDUC 3","67","Med Center"
"655","CASE MGR PD","67",""
"3181","STDT RSDNC HALLS BYA","66","Students"
"2612","PROJECT POLICY ANL 5","66","Staff"
"1494","FUNDRAISER 2 NEX","65","Staff"
"1807","K to 14 ACAD PREP SPEC 2","65","Staff"
"2659","PUBL EDUC SPEC 4","65","Staff"
"2982","SCRTY GUARD SR","65","Staff"
"2872","RES-FY-NON REP","65","Research Staff"
"1667","HS ASSOC CLIN PROF-FY","65","Non-Senate"
"3111","STDT ACAD SPEC 2","65","Acad Staff"
"3204","STERILE PROCESSING TCHN 3","65",""
